Task,Category,MedA
CellClean,I,1
FeedBrood,II,5
CapBrood,II,6
TrimCap,II,7
QueenCare,II,6
GroomAdults,III,9
FeedAdults,III,11
Ventilate,III,14
ShapeComb,III,12
RNectar,III,14
PackPollen,III,14
SNector,III,16
Guard,III,17
Forage,IV,20
